date,time,platform,account_id,display_name,follower_count,account_type,content_type,action_taken,comment_text,post_url,notes
2026-02-11,,Facebook,styleitwithashley,Styleitwithashley,,Page,Reel,Love,,https://www.facebook.com/reel/1576645480330684,Hobby Lobby spring collection - bow ceramic mugs and plates
2026-02-11,,Facebook,styleitwithashley,Styleitwithashley,,Page,Reel,Comment,"Obsessed with those bow mugs on the top shelf. Hobby Lobby is dangerous for people who love ceramics.",https://www.facebook.com/reel/1576645480330684,Already following
2026-02-11,,Facebook,samc,Sam C,,Page,Reel,Like,,https://www.facebook.com/reel/778239488631036,DIY Valentine crafts - pressed flower frames and garlands
2026-02-11,,Facebook,samc,Sam C,,Page,Reel,Follow,,https://www.facebook.com/reel/778239488631036,
2026-02-11,,Facebook,samc,Sam C,,Page,Reel,Comment,"Adding the pressed flowers to the footprints is such a clever touch. How long did you press them before using?",https://www.facebook.com/reel/778239488631036,
2026-02-11,,Facebook,thefighome,The Fighome,,Page,Reel,Like,,https://www.facebook.com/reel/2159843704841788,Seasonal home decorating - cozy lifestyle
2026-02-11,,Facebook,thefighome,The Fighome,,Page,Reel,Follow,,https://www.facebook.com/reel/2159843704841788,
2026-02-11,,Facebook,magdiel,Magdiel,,Page,Reel,Like,,https://www.facebook.com/reel/1487217782969394,Cherry-themed tablescape with elegant plates
2026-02-11,,Facebook,sandralee,Sandra Lee,,Page,Reel,Love,,https://www.facebook.com/reel/871200352301102,Valentine living room and tablescape decor
2026-02-12,02:30,tiktok,@sortofceramics,Shan Smith,unknown,creator,pottery/ceramics,follow+like,,https://www.tiktok.com/@sortofceramics/video/7604956481041091847,kiln haul video. green/yellow/lavender glazes. building Shopify for spring collection. Toronto-based
2026-02-12,02:33,tiktok,@by___felicia,by___felicia,unknown,creator,pottery/ceramics,follow+like+comment,"the little faces on these have so much personality, the pink scalloped one is unreal",https://www.tiktok.com/@by___felicia/video/7594711610963365175,character ceramic mugs with faces. handbuilding process. very popular in ceramics niche
2026-02-12,02:38,tiktok,@kellyycha,kelly,unknown,creator,pottery/ceramics,follow+like,,https://www.tiktok.com/@kellyycha/video/7603611065905138958,apple-shaped glazed bowls. beautiful red glaze results
2026-02-12,02:42,tiktok,@clocktower.clay,clocktower clay,unknown,creator,pottery/ceramics,follow+like+comment,"that glaze is not terrible at all, the depth on that blue is so good",https://www.tiktok.com/@clocktower.clay/video/7603821260761599254,pottery progress post. blue mug and green espresso mug. small creator. very genuine
2026-02-12,02:46,tiktok,@mija.ceramics,Mija Ceramics,unknown,creator,pottery/ceramics,follow+like,,https://www.tiktok.com/@mija.ceramics/video/7603806062680034590,tortoiseshell/amber pinch mug set. very small creator (94 likes)
2026-02-12,02:50,tiktok,@natewinterstudios,Nate Winter Studios,unknown,creator,pottery/ceramics,like,,https://www.tiktok.com/@natewinterstudios/video/7603819646558457101,wheel throwing video. Valentine's Day sale. like only (no follow) for pattern variation
2026-02-12,03:00,instagram,@panthertownstudios,Panther Town Studios,unknown,profile,pottery/ceramics,follow+like+comment,"the colors in that marble are incredible, love this detail on the handle",https://www.instagram.com/p/DT8LUvsERzs/,handmade marble-embedded ceramic mug. mugtown collective partner
2026-02-12,03:03,instagram,@atelier_mf_,atelier_mf_,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUTfAdkDCGS/,french ceramicist. farfalle (pasta) shaped ceramic pieces in olive green
2026-02-12,03:05,instagram,@asmaapottery,asmaapottery,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUQjgpBDDJO/,hand-painted ceramic mug with playful illustrations. matcha themed. arabic captions
2026-02-12,03:08,instagram,@brettwulc,brettwulc,unknown,profile,pottery/ceramics,follow+like+comment,"standing wheel is such a game changer, your studio setup looks so dialed in",https://www.instagram.com/p/DT1BLrZEhTs/,verified potter. 16 years experience. standing wheel ergonomics post. very engaged community
2026-02-12,03:11,instagram,@biancapintan,biancapintan,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUE8OAnj0az/,verified. cobalt collection. hand-formed carved ceramic vases. one-of-a-kind pieces
2026-02-12,03:14,instagram,@gaemerin,gaemerin,unknown,profile,pottery/ceramics,follow+like+comment,"ok the little face on this one is everything, what glaze did you use for that speckled finish?",https://www.instagram.com/p/DTse286jyef/,animal-shaped ceramic pots. whale/dolphin pot with speckled glaze. very cute niche
2026-02-12,03:17,instagram,@curios.nz,curios.nz,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DSI_KROkgcC/,textured dimple pattern ceramic cup. greenware stage. NZ based
2026-02-12,03:20,instagram,@cozyhandmadecreations,cozyhandmadecreations,unknown,profile,pottery/ceramics,follow+like+comment,"the drip detail on these is so satisfying, cauldron shape is perfect for it",https://www.instagram.com/p/DSVRCg-Eeif/,cauldron mugs with dripping slime glaze detail. honey pot style
2026-02-12,03:23,instagram,@seaboulos.pottery,seaboulos.pottery,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DTGPu5aDVhC/,glaze recipe post. frozen pond combo (bougainvillea/RHC/iron lustre on black underglaze). technical content
2026-02-12,03:26,instagram,@kropottery,kropottery,4471,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUBMmugFCQo/,heart-stamped speckled mugs. Lethbridge Alberta. small creator
2026-02-12,03:29,instagram,@roryefoster,roryefoster,unknown,profile,pottery/ceramics,follow+like+comment,"every single one of these has such a different personality, the color combos are wild",https://www.instagram.com/p/DUZNKCmjcSO/,colorful geometric pattern mugs. Austin Texas. vibrant handmade ceramics
2026-02-12,03:32,instagram,@thutapottery,thutapottery,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUbNDKpgZQ3/,wheel throwing tutorial. tall neck technique. pottery tips
2026-02-12,03:35,instagram,@meilinceramics,meilinceramics,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUbsVJxkpFj/,character ceramic mugs. orchid collection sold out before site opened. adorable faces
2026-02-12,03:38,instagram,@beckylairdpottery,beckylairdpottery,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DUeYnFgkusj/,thrown and altered (pinched) form mugs. mixed glazes. Kenmore Washington. March 1st shop update
2026-02-12,03:41,instagram,@sewar.ceramics,sewar.ceramics,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DTc4Ga4iADz/,3D butterfly ceramic mug. handmade. beautiful sculptural detail
